Well_Id	Comp_1	Comp_2	Cluster	Trivial_Name	Known_Act	Chiral	Smiles
392616:01:09_00.20	-9.923455	-1.3765339	AKT/PI3K/MTOR	WYE-132	WYE-132 (WYE-125132) is a highly potent, ATP-competitive, and specific mTOR kinase inhibitor (IC50: 0.19±0.07 nM; >5,000-fold selective versus PI3Ks). WYE-132 (WYE-125132) inhibits mTORC1 and mTORC2.	False	CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1
392604:01:09_02.00	-9.920997	-1.1972477	AKT/PI3K/MTOR	OSI-027	OSI-027 (ASP7486) is a potent, selective, orally active and ATP-competitive mTOR kinase activity inhibitor with an IC50 of 4 nM. OSI-027 targets both mTORC1 and mTORC2 with IC50s of 22 nM and 65 nM, respectively.	False	COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12
392563:01:10_02.00	-9.979868	-1.4054687	AKT/PI3K/MTOR	AZD8055	AZD8055 is a novel ATP-competitive mTOR inhibitor with IC50 of 0.8 nM with excellent selectivity (~1000-fold) against PI3K isoforms and ATM/DNA-PK. Phase 1.	False	COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO
392538:01:10_02.00	-10.009383	-1.0536916	AKT/PI3K/MTOR	WYE-354	WYE-354 is an ATP-competitive mTOR inhibitor with an IC50 of 5 nM. WYE-354 also inhibits PI3K.a. and PI3K.g. with IC50s of 1.89 uM  and 7.37 uM, respectively. WYE-354 inhibits both mTORC1 and mTORC2. WYE-354  induces autophagy activation in vitro.	False	COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1
392535:01:10_02.00	-10.102493	-0.95522386	AKT/PI3K/MTOR	KU-0063794	KU-0063794 is a potent and highly specific dual-mTOR inhibitor of mTORC1 and mTORC2 with IC50 of ~10 nM; no effect on PI3Ks.	False	COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO
392513:01:09_02.00	-10.164442	-0.8714763	AKT/PI3K/MTOR	Everolimus (RAD001)	Everolimus (RAD001) is an mTOR inhibitor of FKBP12 with IC50 of 1.6-2.4 nM in a cell-free assay.	True	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
392483:01:10_02.00	-10.005385	-0.67808765	AKT/PI3K/MTOR	Rapamycin (Sirolimus)	Rapamycin (Sirolimus, AY-22989, WY-090217) is a specific mTOR inhibitor with IC50 of ~0.1 nM.	False	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
392630:01:09_02.00	-10.013925	-1.2771304	AKT/PI3K/MTOR	GDC-0980 (RG7422)	GDC-0980 (RG7422) is a potent, class I PI3K inhibitor for PI3K¿/ß/¿/¿ with IC50 of 5 nM/27 nM/7 nM/14 nM, respectively. Also a mTOR inhibitor with Ki of 17 nM, and highly selective versus others PIKK family kinases. Phase 2.	False	Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12
392643:01:09_02.00	9.922445	10.617198	Aurora	CCT 137690	CCT 137690 is a potent and orally available aurora kinase inhibitor with IC50s of 15, 25, and 19 nM for aurora A, B and C, respectively.	False	Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(N6CCN(C)CC6)cc5)nc34)CC2)no1
409875:01:02_10.00	9.725131	11.192339	Aurora	CFI-400945	it is an inhibitor of polo-like kinase 4 (PLK4, IC50 = 2.8 nM), a unique kinase that regulates centriole duplication during the cell cycle. CFI-400945 suffers from a poor kinome selectivity. While showing good selectivity against the other PLK-family members, this compound has some critical off-targets, most importantly AURKB. It does not inhibit other members of the PLK family (IC50s > 50 µM for PLK1, PLK2, and PLK3).	True	COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5C[C@H](C)O[C@H](C)C5)cc4)[nH]nc3c1)C(=O)N2
410084:01:04_00.20	9.695582	10.727924	Aurora	BI-847325	BI-847325 is an ATP competitive dual inhibitor of MEK and aurora kinases (AK) with IC50 values of 4 and 15 nM for human MEK2 and AK-C, respectively.	False	CCNC(=O)C#Cc1ccc2c(/C(=N/c3ccc(CN(C)C)cc3)c3ccccc3)c(O)[nH]c2c1
410084:01:05_00.20	9.7824	10.768417	Aurora	BI-847325	BI-847325 is an ATP competitive dual inhibitor of MEK and aurora kinases (AK) with IC50 values of 4 and 15 nM for human MEK2 and AK-C, respectively.	False	CCNC(=O)C#Cc1ccc2c(/C(=N/c3ccc(CN(C)C)cc3)c3ccccc3)c(O)[nH]c2c1
410784:01:03_02.00	9.829637	10.547702	Aurora	Barasertib	Barasertib (AZD1152), a pro-drug of Barasertib-hQPA, is a highly selective Aurora B inhibitor with an IC50 of 0.37 nM in a cell-free assay. Barasertib (AZD1152) induces growth arrest and apoptosis in cancer cells.	False	CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O
410632:01:03_02.00	10.083988	10.595987	Aurora	ENMD-2076 L-(+)-Tartaric acid	ENMD-2076 L-(+)-Tartaric acid is the tartaric acid of ENMD-2076, selective activity against Aurora A and Flt3 with IC50 of 14 nM and 1.86 nM, 25-fold more selective for Aurora A than Aurora B and less potent to VEGFR2/KDR and VEGFR3, FGFR1 and FGFR2 and PDGFR¿. Phase 2.	True	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1
410784:01:03_00.20	10.1405735	10.7655	Aurora	Barasertib	Barasertib (AZD1152), a pro-drug of Barasertib-hQPA, is a highly selective Aurora B inhibitor with an IC50 of 0.37 nM in a cell-free assay. Barasertib (AZD1152) induces growth arrest and apoptosis in cancer cells.	False	CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O
410914:01:03_00.20	9.934381	10.813286	Aurora	GSK-1070916	GSK-1070916 is a potent and selective ATP-competitive inhibitor of aurora B and aurora C with Kis of 0.38 and 1.5 nM, respectively, and is >250- fold selective over Aurora A.	False	CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1
392595:01:09_02.00	9.908511	11.021779	Aurora	AMG 900	AMG 900 is a potent and highly selective pan-Aurora kinases inhibitor with IC50 of 5 nM, 4 nM and 1 nM for Aurora A, B and C, respectively.	False	Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1
410128:01:03_02.00	9.80687	11.150427	Aurora	SNS-314	SNS-314 is a potent and selective aurora kinase inhibitor with IC50s of 9, 31, and 6 nM for aurora A, B and C, respectively.	False	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1
392595:01:09_00.20	9.656313	10.939918	Aurora	AMG 900	AMG 900 is a potent and highly selective pan-Aurora kinases inhibitor with IC50 of 5 nM, 4 nM and 1 nM for Aurora A, B and C, respectively.	False	Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1
392522:01:09_02.00	9.946687	10.966426	Aurora	SNS-314	SNS-314 is a potent and selective aurora kinase inhibitor with IC50s of 9, 31, and 6 nM for aurora A, B and C, respectively.	False	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1
392321:03:03_02.00	9.461225	10.867336	Aurora	ZM-447439	ZM-447439 is an aurora kinase inhibitor with IC50s of 110 and 130 nM for aurora A and B, respectively.; Thousands of chemical starting points for antimalarial lead identification. Nature. 2010 May 20;465(7296):305-10.	False	COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1
392522:01:09_00.20	9.749608	10.67623	Aurora	SNS-314	SNS-314 is a potent and selective aurora kinase inhibitor with IC50s of 9, 31, and 6 nM for aurora A, B and C, respectively.	False	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1
392520:01:10_02.00	9.769338	10.838169	Aurora	Barasertib-HQPA	Barasertib-HQPA (AZD2811) is a highly selective?Aurora B?inhibitor with?an IC50?of 0.37 nM in a cell-free assay, and shows 3700-fold selectivity for Aurora B over Aurora A.	False	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
392520:01:10_00.20	10.085755	10.65697	Aurora	Barasertib-HQPA	Barasertib-HQPA (AZD2811) is a highly selective?Aurora B?inhibitor with?an IC50?of 0.37 nM in a cell-free assay, and shows 3700-fold selectivity for Aurora B over Aurora A.	False	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1
392517:02:03_02.00	9.964323	10.490788	Aurora	AT9283	AT9283 is a multi-targeted kinase inhibitor with potent activity against Aurora A/B, JAK2/3, Abl (T315I) and Flt3 (IC50s ranging from 1 to 30 nM). AT9283 inhibits growth and survival of multiple solid tumors in vitro and in vivo.	False	O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1
392517:02:03_00.20	9.792253	10.612339	Aurora	AT9283	AT9283 is a multi-targeted kinase inhibitor with potent activity against Aurora A/B, JAK2/3, Abl (T315I) and Flt3 (IC50s ranging from 1 to 30 nM). AT9283 inhibits growth and survival of multiple solid tumors in vitro and in vivo.	False	O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1
392506:02:03_02.00	10.099522	10.586004	Aurora	Danusertib	Danusertib is a pyrrolo-pyrazole and aurora kinase inhibitor with IC50 of 13, 79, and 61 nM for Aurora A, B, and C, respectively.	False	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
392506:01:09_02.00	9.996449	10.5487795	Aurora	Danusertib	Danusertib is a pyrrolo-pyrazole and aurora kinase inhibitor with IC50 of 13, 79, and 61 nM for Aurora A, B, and C, respectively.	False	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
392321:02:09_02.00	10.070604	10.795489	Aurora	ZM-447439	ZM-447439 is an aurora kinase inhibitor with IC50s of 110 and 130 nM for aurora A and B, respectively.; Thousands of chemical starting points for antimalarial lead identification. Nature. 2010 May 20;465(7296):305-10.	False	COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1
392522:02:03_02.00	9.63122	11.083301	Aurora	SNS-314	SNS-314 is a potent and selective aurora kinase inhibitor with IC50s of 9, 31, and 6 nM for aurora A, B and C, respectively.	False	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1
410941:01:03_00.20	8.290581	-1.3274486	BET	BET bromodomain inhibitor	BET bromodomain inhibitor is a potent BET inhibitor extracted from patent WO/2015/153871A2, compound example 11.	False	Cc1noc2c1-c1ccc(-c3cnn(C)c3)cc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O
410925:01:03_00.20	8.458267	-0.14082669	BET	(Rac)-BAY1238097	(Rac)-BAY1238097 is a BET inhibitor, with an IC50 of 1.02 uM for BRD4. Used in cancer research.	False	CNC(=O)N1N=C(c2ccc(N3CCN(C)CC3)cc2)c2cc(OC)c(OC)cc2CC1C
410900:01:03_02.00	7.977861	-2.3355017	BET	CPI-203	CPI-203 is a novel potent, selective and cell permeable inhibitor of BET bromodomain, with an IC50 value of appr 37 nM (BRD4 .a.-screen assay).	False	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(N)=O)c1nnc(C)n1-2
410905:01:03_00.20	8.384758	-0.3609767	BET	ABBV-744	ABBV-744 is a highly BDII-selective BET bromodomain inhibitor, used in the research of inflammatory diseases, cancer, and AIDS.	False	CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(O)c-2n1
410941:01:03_02.00	7.93425	-2.223645	BET	BET bromodomain inhibitor	BET bromodomain inhibitor is a potent BET inhibitor extracted from patent WO/2015/153871A2, compound example 11.	False	Cc1noc2c1-c1ccc(-c3cnn(C)c3)cc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O
410924:01:03_00.20	8.127238	-1.8246547	BET	ARV-771	ARV-771 is a potent BET degrader based on PROTAC technology with Kds of  34, 4.7, 8.3, 7.6, 9.6, and 7.6 nM for BRD2(1), BRD2(2), BRD3(1), BRD3(2), BRD4(1), and BRD4(2), respectively.	False	Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1
410946:01:03_00.20	8.245967	-0.5459539	BET	INCB054329	INCB054329 is a potent BET inhibitor.	False	Cc1noc(C)c1-c1ccc2nc(O)n3c2c1OC[C@@H]3c1ccccn1
410968:01:03_00.20	8.119843	-0.43953434	BET	HJB97	HJB97 is a high-affinity BET inhibitor with Kis of 0.9 nM (BRD2 BD1), 0.27 nM (BRD2 BD2), 0.18 nM (BRD3 BD1), 0.21 nM (BRD3 BD2), 0.5 nM (BRD4 BD1), 1.0 nM (BRD4 BD2), respectively. HJB97 is  employed for the design of potential PROTAC BET degrader and has antitumor activity.	False	CCn1nc(C2CC2)cc1Nc1nc(C(=O)NC)nc2[nH]c3cc(-c4c(C)noc4C)c(OC)cc3c12
410947:01:03_00.20	8.215531	-1.2011166	BET	(+)-JQ1 PA	(+)-JQ1 PA is a derivative of the Bromodomain and extra-terminal (BET) inhibitor JQ1, with an IC50 of 10.4 nM.	False	C#CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21
410947:01:03_02.00	8.216067	-2.4107528	BET	(+)-JQ1 PA	(+)-JQ1 PA is a derivative of the Bromodomain and extra-terminal (BET) inhibitor JQ1, with an IC50 of 10.4 nM.	False	C#CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21
410954:01:03_02.00	8.377801	-0.32399866	BET	(S)-JQ-35	(S)-JQ-35 (TEN-010) is an inhibitor of the Bromodomain and Extra-Terminal (BET) family bromodomain-containing proteins with potential antineoplastic activity.	False	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCN1CCN(C)CC1)c1nnc(C)n1-2
410999:01:03_00.20	8.280583	-2.4731064	BET	Mivebresib	Mivebresib (ABBV-075) is a potent and orally active bromodomain and extraterminal domain (BET) bromodomain inhibitor. Mivebresib binds to BRD4 with a Ki of 1.5 nM.	False	CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(O)c3nccc2-3)c1
411007:01:03_00.20	7.728708	-0.52020377	BET	INCB-057643	INCB-057643 is a novel, orally bioavailable BET inhibitor.	False	CN1C(=O)C(C)(C)Oc2c(-c3cn(C)c(O)c4nccc3-4)cc(S(C)(=O)=O)cc21
410946:01:03_02.00	8.032431	-2.1814563	BET	INCB054329	INCB054329 is a potent BET inhibitor.	False	Cc1noc(C)c1-c1ccc2nc(O)n3c2c1OC[C@@H]3c1ccccn1
410885:01:03_02.00	8.202709	-2.130456	BET	BAY1238097	BAY1238097 is a potent and selective inhibitor of BET binding to histones and has strong anti-proliferative activity in different AML (acute myeloid leukemia) and MM (multiple myeloma) models through down-regulation of c-Myc levels and its downstream transcriptome (IC50 <100 nM).	False	CNC(=O)N1N=C(c2ccc(N3CCN(C)CC3)cc2)c2cc(OC)c(OC)cc2C[C@@H]1C
410900:01:03_00.20	8.467822	-0.6895715	BET	CPI-203	CPI-203 is a novel potent, selective and cell permeable inhibitor of BET bromodomain, with an IC50 value of appr 37 nM (BRD4 .a.-screen assay).	False	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(N)=O)c1nnc(C)n1-2
409850:01:02_10.00	7.853281	-0.31774583	BET	PFI-1	PFI-1 is a selective BET (bromodomain-containing protein) inhibitor for BRD4 with IC50 of 0.22 uM in a cell-free assay.	False	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
410884:01:03_00.20	8.259368	-2.2886968	BET	CF53	CF53 is a highly potent, selective and orally active inhibitor of BET protein, with a Ki of <1 nM, Kd of 2.2 nM and an IC50 of 2 nM for BRD4 BD1. CF53 binds to both the BD1 and BD2 domains of BRD2, BRD3, BRD4, and BRDT BET proteins with high affinities, very selective over non-BET bromodomain-containing proteins. CF53 shows potent anti-tumor activity both in vitro and in vivo.	False	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4CC4)nn3C)c12
409850:02:04_10.00	8.423363	-1.03503	BET	PFI-1	PFI-1 is a selective BET (bromodomain-containing protein) inhibitor for BRD4 with IC50 of 0.22 uM in a cell-free assay.	False	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
410668:01:03_02.00	7.960213	-0.45568675	BET	(+)-JQ-1	(+)-JQ-1 (JQ1) is a potent, specific, and reversible BET bromodomain inhibitor, with IC50s of 77 and 33 nM for the first and second bromodomain (BRD4(1/2)). (+)-JQ-1 also activates autophagy.	True	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2
410668:02:03_00.20	8.094533	-0.68629116	BET	(+)-JQ-1	(+)-JQ-1 (JQ1) is a potent, specific, and reversible BET bromodomain inhibitor, with IC50s of 77 and 33 nM for the first and second bromodomain (BRD4(1/2)). (+)-JQ-1 also activates autophagy.	True	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2
410825:01:03_00.20	8.511342	-0.48965326	BET	Birabresib	Birabresib (OTX-015) is a potent bromodomain (BRD2/3/4) inhibitor with IC50s ranging from 92 to 112 nM.	False	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2
410827:01:03_00.20	8.05531	-0.023168797	BET	PLX51107	PLX51107 is a potent and selective BET inhibitor, with Kds of 1.6, 2.1, 1.7, and 5 nM for BD1 and 5.9, 6.2, 6.1, and 120 nM for BD2 of BRD2, BRD3, BRD4, and BRDT, respectively; PLX51107 also interacts with the bromodomains of CBP and EP300 (Kd, in the 100 nM range).	False	Cc1noc(C)c1-c1cnc2c(-c3ccc(C(=O)O)cc3)cn([C@@H](C)c3ccccn3)c2c1
410668:02:03_02.00	8.011391	-2.3294356	BET	(+)-JQ-1	(+)-JQ-1 (JQ1) is a potent, specific, and reversible BET bromodomain inhibitor, with IC50s of 77 and 33 nM for the first and second bromodomain (BRD4(1/2)). (+)-JQ-1 also activates autophagy.	True	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2
410837:01:03_00.20	8.376463	-0.70719284	BET	GSK1324726A	GSK1324726A is a novel, potent, and selective inhibitor of BET proteins with high affinity to BRD2 (IC50=41 nM), BRD3 (IC50=31 nM), and BRD4 (IC50=22 nM).	False	CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C
410840:01:03_00.20	8.340419	-2.3104987	BET	MS417	MS417 is a BET-specific BRD4 inhibitor, binds to BRD4-BD1 and BRD4-BD2 with IC50s of 30, 46 nM and Kds of 36.1, 25.4 nM, respectively, with weak selectivity at CBP BRD (IC50, 32.7 µM).	False	COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21
410840:01:03_02.00	8.234278	-2.4563916	BET	MS417	MS417 is a BET-specific BRD4 inhibitor, binds to BRD4-BD1 and BRD4-BD2 with IC50s of 30, 46 nM and Kds of 36.1, 25.4 nM, respectively, with weak selectivity at CBP BRD (IC50, 32.7 µM).	False	COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21
410851:01:03_02.00	7.995426	-2.1600993	BET	I-BET151	I-BET151 is a BET bromodomain inhibitor which inhibits BRD4, BRD2, and BRD3 with pIC50 of 6.1, 6.3, and 6.6, respectively.	False	COc1cc2c(cc1-c1c(C)noc1C)ncc1nc(O)n([C@H](C)c3ccccn3)c12
